City,Beach,Frequency
PRAIA GRANDE,VILA MIRIM,SEMANAL
PRAIA GRANDE,MARACANÃ,SEMANAL
PRAIA GRANDE,VILA CAIÇARA,SEMANAL
PRAIA GRANDE,REAL,SEMANAL
PRAIA GRANDE,BALNEÁRIO FLÓRIDA,SEMANAL
PRAIA GRANDE,JARDIM SOLEMAR,SEMANAL
SANTOS,PONTA DA PRAIA,SEMANAL
SANTOS,APARECIDA,SEMANAL
SANTOS,EMBARÉ,SEMANAL
SANTOS,BOQUEIRÃO,SEMANAL
SANTOS,GONZAGA,SEMANAL
SANTOS,JOSÉ MENINO (R. OLAVO BILAC),SEMANAL
SANTOS,JOSÉ MENINO (R. FREDERICO OZANAN),SEMANAL
SÃO SEBASTIÃO,PRAINHA,SEMANAL
SÃO SEBASTIÃO,CIGARRAS,SEMANAL
SÃO SEBASTIÃO,SÃO FRANCISCO,SEMANAL
SÃO SEBASTIÃO,ARRASTÃO,SEMANAL
SÃO SEBASTIÃO,PONTAL DA CRUZ,SEMANAL
SÃO SEBASTIÃO,DESERTA,SEMANAL
SÃO SEBASTIÃO,PORTO GRANDE,SEMANAL
SÃO SEBASTIÃO,PRETA DO NORTE,SEMANAL
SÃO SEBASTIÃO,GRANDE,SEMANAL
SÃO SEBASTIÃO,BAREQUEÇABA,SEMANAL
SÃO SEBASTIÃO,GUAECÁ,SEMANAL
SÃO SEBASTIÃO,TOQUE-TOQUE GRANDE,SEMANAL
SÃO SEBASTIÃO,TOQUE-TOQUE PEQUENO,SEMANAL
SÃO SEBASTIÃO,SANTIAGO,SEMANAL
SÃO SEBASTIÃO,PAÚBA,SEMANAL
SÃO SEBASTIÃO,MARESIAS,SEMANAL
SÃO SEBASTIÃO,BOIÇUCANGA,SEMANAL
SÃO SEBASTIÃO,CAMBURIZINHO,SEMANAL
SÃO SEBASTIÃO,CAMBURI,SEMANAL
SÃO SEBASTIÃO,BALEIA,SEMANAL
SÃO SEBASTIÃO,SAÍ,SEMANAL
SÃO SEBASTIÃO,PRETA,SEMANAL
SÃO SEBASTIÃO,JUQUEÍ (TRAV. SIMÃO FAUSTINO),SEMANAL
SÃO SEBASTIÃO,JUQUEÍ (R. CRISTIANA),SEMANAL
SÃO SEBASTIÃO,UNA,SEMANAL
SÃO SEBASTIÃO,ENGENHO,SEMANAL
SÃO SEBASTIÃO,JURÉIA DO NORTE,SEMANAL
SÃO SEBASTIÃO,BORACÉIA - NORTE,SEMANAL
SÃO SEBASTIÃO,BORACÉIA - R. CUBATÃO,SEMANAL
SÃO VICENTE,PRAIA DA DIVISA,SEMANAL
SÃO VICENTE,ITARARÉ (POSTO 2),SEMANAL
SÃO VICENTE,PRAIA DA ILHA PORCHAT,SEMANAL
SÃO VICENTE,MILIONÁRIOS,SEMANAL
SÃO VICENTE,GONZAGUINHA,SEMANAL
SÃO VICENTE,PRAINHA (AV. SANTINO BRITO),SEMANAL
UBATUBA,PICINGUABA,SEMANAL
UBATUBA,FÉLIX,SEMANAL
UBATUBA,ITAMAMBUCA,SEMANAL
UBATUBA,RIO  ITAMAMBUCA,SEMANAL
UBATUBA,VERMELHA DO NORTE,SEMANAL
UBATUBA,PEREQUÊ-AÇU,SEMANAL
UBATUBA,IPEROIG,SEMANAL
UBATUBA,ITAGUÁ (No 230 DA AV. LEOVEGILDO),SEMANAL
UBATUBA,ITAGUA (No1724 DA AV. LEOVEGILDO),SEMANAL
UBATUBA,TENÓRIO,SEMANAL
UBATUBA,VERMELHA,SEMANAL
UBATUBA,GRANDE,SEMANAL
UBATUBA,TONINHAS,SEMANAL
UBATUBA,ENSEADA,SEMANAL
UBATUBA,SANTA RITA,SEMANAL
UBATUBA,PEREQUÊ-MIRIM,SEMANAL
UBATUBA,SUNUNGA,SEMANAL
UBATUBA,LÁZARO,SEMANAL
UBATUBA,DOMINGAS DIAS,SEMANAL
UBATUBA,DURA,SEMANAL
UBATUBA,LAGOINHA (R. ENGENHO VELHO),SEMANAL
UBATUBA,LAGOINHA (CAMPING),SEMANAL
UBATUBA,SAPÉ,SEMANAL
UBATUBA,MARANDUBA,SEMANAL
